54.8795747983214 	1.3524618700787403e-05	 30.728516 
22.0725358542576 	4.267217322834646e-06	 30.828125 
53.08422730982507 	7.805418110236221e-06	 30.927734 
43.88206197312039 	1.4012646456692916e-05	 31.027344 
56.84930297714694 	8.15228090551181e-06	 31.126953 
45.220485083053426 	9.737362598425196e-06	 31.226563 
49.151348711803514 	-4.142185433070866e-06	 31.326172 
46.87077254573187 	8.466877165354332e-06	 31.425781 
33.450650916361624 	-3.3516612204724415e-06	 31.525391 
12.78141130171446 	-1.7302800196850394e-06	 31.625 
-20.982439451923426 	-8.285379330708662e-06	 31.724609 
-10.910905064687652 	-2.6969580708661417e-05	 31.824219 
-41.67947557753799 	-5.1462722440944886e-05	 31.923828 
-79.27107385812091 	-5.427795669291338e-05	 32.023438 
-79.95848230257566 	-4.77117657480315e-05	 32.123047 
-88.25084658242383 	-6.806977952755905e-05	 32.222656 
-125.9652691799299 	-7.672218897637795e-05	 32.322266 
-107.27788762229945 	-0.00010209458661417323	 32.421875 
-117.29533794499997 	-8.987272047244094e-05	 32.521484 
-133.74813634230938 	-9.011068307086614e-05	 32.621094 
-140.78901524615821 	-0.00012039965944881891	 32.720703 
-151.62478188962538 	-9.619287992125985e-05	 32.820313 
-167.12179017137817 	-0.00012043595866141733	 32.919922 
-180.42463703680406 	-0.00012492500590551183	 33.019531 
-213.28475394223503 	-0.0001501199409448819	 33.119141 
-237.4294340677201 	-0.00015689283661417326	 33.21875 
-245.61869546838236 	-0.00016556137992125987	 33.318359 
-278.7391262737284 	-0.00017372979330708662	 33.417969 
-282.73869226318175 	-0.00019422493897637796	 33.517578 
-317.30926941590116 	-0.00021071100393700787	 33.617188 
-358.3581010555025 	-0.00022811261811023624	 33.716797 
-377.1066500544646 	-0.00024755507874015746	 33.816406 
-401.57483043751836 	-0.00024989135826771657	 33.916016 
-422.58574983220024 	-0.0002690434251968504	 34.015625 
-470.9989685273201 	-0.00026479938976377954	 34.115234 
-476.25460439190846 	-0.0002989532677165355	 34.214844 
-500.488231300023 	-0.00031816986220472443	 34.314453 
-546.2564525256222 	-0.0003250395669291339	 34.414063 
-573.8750896630214 	-0.0003439133464566929	 34.513672 
-620.2220471656583 	-0.0003674787992125984	 34.613281 
-653.3146710003532 	-0.0004049036811023622	 34.712891 
-681.9320697919148 	-0.00041289464566929133	 34.8125 
-730.3068639505848 	-0.0004470122047244095	 34.912109 
-749.7791835965742 	-0.0004664062795275591	 35.011719 
-780.0104918600398 	-0.000495712125984252	 35.111328 
-812.4212627238344 	-0.0005242869488188977	 35.210938 
-853.3993434835319 	-0.0005278725393700787	 35.310547 
-910.9015142663587 	-0.0005399260039370079	 35.410156 
-913.0309282665662 	-0.0005623742913385827	 35.509766 
-949.1744247719258 	-0.0005941031299212599	 35.609375 
-983.8582428029962 	-0.0006177936417322835	 35.708984 
-1002.5415667927304 	-0.0006289103937007875	 35.808594 
-1061.9366443108363 	-0.000669715157480315	 35.908203 
-1092.8088548964433 	-0.0006851938976377953	 36.007813 
-1142.86167836211 	-0.0007178464370078741	 36.107422 
-1156.0574378008878 	-0.0007560103346456692	 36.207031 
-1229.0525711387224 	-0.0007758924606299214	 36.306641 
-1236.1555055702618 	-0.0008143054921259844	 36.40625 
-1277.38491476945 	-0.0008456320275590552	 36.505859 
-1308.9707915528486 	-0.0008602375787401576	 36.605469 
-1340.7527578042316 	-0.0008943914566929134	 36.705078 
-1357.5740212582093 	-0.0009252824015748033	 36.804688 
-1380.3681391200016 	-0.0009386980708661418	 36.904297 
-1445.1234493404897 	-0.0009584440748031496	 37.003906 
-1491.4840636377971 	-0.0009848651181102361	 37.103516 
-1506.3118297749422 	-0.0010285506692913388	 37.203125 
-1546.748177855878 	-0.0010461014763779527	 37.302734 
-1640.9321241536538 	-0.0010941873622047245	 37.402344 
-1712.0079844589845 	-0.001145133779527559	 37.501953 
-1795.0458943689425 	-0.0011842364960629923	 37.601563 
-1824.638273835508 	-0.0012336705118110235	 37.701172 
-1878.5396294039044 	-0.001258897755905512	 37.800781 
-1888.9467187355883 	-0.0013062574999999999	 37.900391 
-1912.3858043815192 	-0.0013096909251968506	 38 
-1925.5855503412845 	-0.0013552196850393702	 38.099609 
-1974.890920857027 	-0.001380265374015748	 38.199219 
-2031.5151097304645 	-0.0014194406102362206	 38.298828 
-2076.883692094682 	-0.0014527313582677166	 38.398438 
-2120.801733406478 	-0.0014776762992125985	 38.498047 
-2167.5875042465386 	-0.0015143347637795277	 38.597656 
-2209.8008144548216 	-0.0015631557086614174	 38.697266 
-2261.326203514604 	-0.0015914361023622048	 38.796875 
-2356.4134125801115 	-0.001640659350393701	 38.896484 
-2397.656735132252 	-0.0017074989763779529	 38.996094 
-2471.2382422898086 	-0.0017181519881889766	 39.095703 
-2530.4124231276455 	-0.0017622447637795277	 39.195313 
-2610.5509678997205 	-0.0018072905708661417	 39.294922 
-2670.1745204350223 	-0.0018662874212598427	 39.394531 
-2759.3960177780705 	-0.0018973437401574803	 39.494141 
-2773.0228148648202 	-0.0019442115551181105	 39.59375 
-2835.56580328971 	-0.0019816405511811023	 39.693359 
-2906.671917736991 	-0.0020230433070866144	 39.792969 
-2952.1249669815406 	-0.002066079527559055	 39.892578 
-3024.8592397529687 	-0.0020877976377952755	 39.992188 
-3077.112464921775 	-0.002140204133858268	 40.091797 
-3138.7415138073775 	-0.002189758070866142	 40.191406 
-3240.560220118742 	-0.002224496850393701	 40.291016 
-3323.7906868865025 	-0.0022925948818897637	 40.390625 
-3399.422094712291 	-0.0023514312992125985	 40.490234 
